title,author,state,source,district,openLibraryKey,isbn,availability,cover_url
Call Me By Your Name,"Aciman, André",AK,A,,/works/OL8034526W,9780374118044,private,https://covers.openlibrary.org/b/isbn/9780374118044-M.jpg?default=false
The Haters,"Andrews, Jesse",AK,A,,/works/OL19852306W,9781419720789,borrow_available,https://covers.openlibrary.org/b/isbn/9781419720789-M.jpg?default=false
Red Hood,"Arnold, Elana K.",AK,A,,/works/OL20649351W,9780062742377,Unknown,
Forever...,"Blume, Judy",AK,A,,/works/OL1838409W,9789996669613,private,
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",AK,A,,/works/OL15171356W,0061949647,private,
The Perks of Being a Wallflower,"Chbosky, Stephen",AK,A,,/works/OL875437W,9782010021787,borrow_available,https://covers.openlibrary.org/b/isbn/9782010021787-M.jpg?default=false
Flamer,"Curato, Mike",AK,A,,/works/OL20813470W,9781250756145,private,https://covers.openlibrary.org/b/isbn/9781250756145-M.jpg?default=false
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",AK,A,,/works/OL5738259W,9780547416212,borrow_available,
The Carnival at Bray,"Foley, Jessie Ann",AK,A,,/works/OL17081973W,1322096767,borrow_available,
Water for Elephants,"Gruen, Sara",AK,A,,/works/OL5813796W,9781565125605,borrow_available,https://covers.openlibrary.org/b/isbn/9781565125605-M.jpg?default=false
The Freedom Writers Diary,"Gruwell, Erin",AK,A,,/works/OL8526561W,038549422X,private,https://covers.openlibrary.org/b/isbn/038549422X-M.jpg?default=false
Homegoing,"Gyasi, Yaa",AK,A,,/works/OL17795349W,0241975239,private,
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",AK,A,,/works/OL42649W,9780763668716,borrow_available,https://covers.openlibrary.org/b/isbn/9780763668716-M.jpg?default=false
Sex: An Uncensored Introduction,"Hasler, Nikol",AK,A,,/works/OL17402644W,1936976854,borrow_available,
It Ends With Us,"Hoover, Colleen",AK,A,,/works/OL18020194W,9788820072940,private,https://covers.openlibrary.org/b/isbn/9788820072940-M.jpg?default=false
Ugly Love,"Hoover, Colleen",AK,A,,/works/OL20577143W,1471136728,private,
Verity,"Hoover, Colleen",AK,A,,/works/OL20068530W,9781538724743,Unknown,
Crank,"Hopkins, Ellen",AK,A,,/works/OL5969752W,9780689865190,private,https://covers.openlibrary.org/b/isbn/9780689865190-M.jpg?default=false
Identical,"Hopkins, Ellen",AK,A,,/works/OL5969735W,9781416984658,private,
Perfect (EH),"Hopkins, Ellen",AK,A,,/works/OL476641W,8310109873,borrow_available,
Tricks,"Hopkins, Ellen",AK,A,,/works/OL5969746W,1416950087,private,https://covers.openlibrary.org/b/isbn/1416950087-M.jpg?default=false
I Never,"Hopper, Laura",AK,A,,/works/OL19721389W,9781328809896,borrow_available,
The Kite Runner,"Hosseini, Khaled",AK,A,,/works/OL5781992W,9780132356596,borrow_available,
The Kite Runner Graphic Novel,"Hosseini, Khaled",AK,A,,/works/OL15902631W,1408859912,private,
Monday's Not Coming,"Jackson, Tiffany D.",AK,A,,/works/OL19742314W,9780062422682,private,https://covers.openlibrary.org/b/isbn/9780062422682-M.jpg?default=false
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",AK,A,,/works/OL16095089W,1444927981,private,
You: A Novel of Dark Obsession,"Kepnes, Caroline",AK,A,,/works/OL19989002W,9781471137358,private,https://covers.openlibrary.org/b/isbn/9781471137358-M.jpg?default=false
Last Night at the Telegraph Club,"Lo, Malinda",AK,A,,/works/OL21915364W,9781529366587,Unknown,https://covers.openlibrary.org/b/isbn/9781529366587-M.jpg?default=false
A Court of Frost and Starlight,"Maas, Sarah J.",AK,A,,/works/OL19655889W,9788328060449,Unknown,https://covers.openlibrary.org/b/isbn/9788328060449-M.jpg?default=false
A Court of Mist and Fury,"Maas, Sarah J.",AK,A,,/works/OL17860744W,9781408857892,private,https://covers.openlibrary.org/b/isbn/9781408857892-M.jpg?default=false
A ​Court of Silver Flames,"Maas, Sarah J.",AK,A,,/works/OL21703979W,1526620642,Unknown,https://covers.openlibrary.org/b/isbn/1526620642-M.jpg?default=false
A Court of Thorns and Roses,"Maas, Sarah J.",AK,A,,/works/OL17352669W,2732472301,private,https://covers.openlibrary.org/b/isbn/2732472301-M.jpg?default=false
A Court of Wings and Ruin,"Maas, Sarah J.",AK,A,,/works/OL17823218W,9781681197678,private,https://covers.openlibrary.org/b/isbn/9781681197678-M.jpg?default=false
Empire of Storms,"Maas, Sarah J.",AK,A,,/works/OL17625829W,9781619636095,borrow_available,https://covers.openlibrary.org/b/isbn/9781619636095-M.jpg?default=false
Kingdom of Ash,"Maas, Sarah J.",AK,A,,/works/OL19352982W,1526635275,Unknown,https://covers.openlibrary.org/b/isbn/1526635275-M.jpg?default=false
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",AK,A,,/works/OL66218W,0063391074,private,
Sold,"McCormick, Patricia",AK,A,,/works/OL8119653W,9780786851713,private,https://covers.openlibrary.org/b/isbn/9780786851713-M.jpg?default=false
"Red, White, and Royal Blue","McQuiston, Casey",AK,A,,/works/OL42309809W,1250316774,Unknown,https://covers.openlibrary.org/b/isbn/1250316774-M.jpg?default=false
The Bluest Eye,"Morrison, Toni",AK,A,,/works/OL50565W,9780452287068,private,https://covers.openlibrary.org/b/isbn/9780452287068-M.jpg?default=false
Exit Here.,"Myers, Jason",AK,A,,/works/OL8755729W,9781439104002,Unknown,
"l8r, g8r","Myracle, Lauren",AK,A,,/works/OL5717635W,9780810970861,borrow_available,https://covers.openlibrary.org/b/isbn/9780810970861-M.jpg?default=false
Shine,"Myracle, Lauren",AK,A,,/works/OL16261093W,1419701843,borrow_available,https://covers.openlibrary.org/b/isbn/1419701843-M.jpg?default=false
yolo,"Myracle, Lauren",AK,A,,/works/OL19989446W,1419716654,borrow_available,https://covers.openlibrary.org/b/isbn/1419716654-M.jpg?default=false
Nineteen Minutes,"Picoult, Jodi",AK,A,,/works/OL891945W,1741769035,borrow_available,
Persepolis 2: The Story of a Return,"Satrapi, Marjane",AK,A,,/works/OL27421760W,9780224074407,private,https://covers.openlibrary.org/b/isbn/9780224074407-M.jpg?default=false
Persepolis: The Story of a Childhood,"Satrapi, Marjane",AK,A,,/works/OL20715162W,9780375714573,private,https://covers.openlibrary.org/b/isbn/9780375714573-M.jpg?default=false
Living Dead Girl,"Scott, Elizabeth",AK,A,,/works/OL8165756W,9781416960607,private,https://covers.openlibrary.org/b/isbn/9781416960607-M.jpg?default=false
Lucky (AS),"Sebold, Alice",AK,A,,/works/OL1863530W,8588808536,borrow_available,https://covers.openlibrary.org/b/isbn/8588808536-M.jpg?default=false
The Lovely Bones,"Sebold, Alice",AK,A,,/works/OL5962664W,160024842X,borrow_available,https://covers.openlibrary.org/b/isbn/160024842X-M.jpg?default=false
This One Summer,"Tamaki, Mariko",AK,A,,/works/OL17094879W,9781554981526,private,https://covers.openlibrary.org/b/isbn/9781554981526-M.jpg?default=false
Drama: A Graphic Novel,"Telgemeier, Raina",AK,A,,/works/OL16793507W,9780545779968,private,
Slaughterhouse-Five,"Vonnegut Jr., Kurt",AK,A,,/works/OL98459W,9780060564926,borrow_available,https://covers.openlibrary.org/b/isbn/9780060564926-M.jpg?default=false
This Book Is Gay,"Dawson, Juno",CA,A,,/works/OL38112418W,1471408310,Unknown,
Looking for Alaska,"Green, John",CA,A,,/works/OL265426W,052542802X,borrow_available,https://covers.openlibrary.org/b/isbn/052542802X-M.jpg?default=false
Thirteen Reasons Why,"Asher, Jay",FL,A,,/works/OL9264548W,9780141328294,private,https://covers.openlibrary.org/b/isbn/9780141328294-M.jpg?default=false
Clockwork Orange,"Burgess, Anthony",FL,A,,/works/OL261794W,9788576574637,borrow_available,https://covers.openlibrary.org/b/isbn/9788576574637-M.jpg?default=false
Pet,"Emezi, Akwaeke",FL,A,,/works/OL20150134W,9788412571745,Unknown,https://covers.openlibrary.org/b/isbn/9788412571745-M.jpg?default=false
Melissa (George),"Gino, Alex",FL,A,,/works/OL17334061W,1338843400,private,
Water for Elephants,"Gruen, Sara",FL,A,,/works/OL5813796W,9781565125605,borrow_available,https://covers.openlibrary.org/b/isbn/9781565125605-M.jpg?default=false
The Freedom Writers Diary,"Gruwell, Erin",FL,A,,/works/OL8526561W,038549422X,private,https://covers.openlibrary.org/b/isbn/038549422X-M.jpg?default=false
Burned (EH),"Hopkins, Ellen",FL,A,,/works/OL15678068W,0393959465,open,https://covers.openlibrary.org/b/isbn/0393959465-M.jpg?default=false
Tricks,"Hopkins, Ellen",FL,A,,/works/OL5969746W,1416950087,private,https://covers.openlibrary.org/b/isbn/1416950087-M.jpg?default=false
All Boys Aren't Blue,"Johnson, George M.",FL,A,,/works/OL20728338W,9780241515044,private,
The Sun and Her Flowers,"Kaur, Rupi",FL,A,,/works/OL17800586W,9781449486792,private,https://covers.openlibrary.org/b/isbn/9781449486792-M.jpg?default=false
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",FL,A,,/works/OL16095089W,1444927981,private,
Gender Queer: A Memoir,"Kobabe, Maia",FL,A,,/works/OL41899364W,9781637150771,Unknown,
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",FL,A,,/works/OL16818314W,0763673684,private,https://covers.openlibrary.org/b/isbn/0763673684-M.jpg?default=false
Last Night at the Telegraph Club,"Lo, Malinda",FL,A,,/works/OL21915364W,9781529366587,Unknown,https://covers.openlibrary.org/b/isbn/9781529366587-M.jpg?default=false
